"ID","azimuth(degrees)","elevation(degrees)","radial diastance(km)"
"a0007829","294.4387484","-9.053351988","126597662.5"
"a0007839","111.4767263","-34.29824029","276976773.6"
"a0007870","29.81103413","-62.70218775","228685093.8"
"a0007888","158.5682396","21.74750326","78910847.25"
"a0007889","138.7529643","-22.66785909","28226422.98"
"a0007958","75.94933981","-43.00377198","340952016.4"
"a0007959","78.92555657","-31.27876663","368574793.8"
"a0007977","105.8621599","-63.83480483","216968464.5"
"a0008013","116.1765776","6.813093821","322409803.9"
"a0008014","99.98980458","-27.31015546","270302846.5"
"a0008024","156.231962","62.90584825","260889630.3"
